OBJECTID,ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Length,经度,纬度
27,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3001431,30.55569448,270
48,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003245,30.55558259,270
57,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3003871,30.55551719,270
247,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3023226,30.5550811,270
279,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026508,30.55501827,180
322,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3030808,30.55488989,270
382,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3036774,30.55469839,270
451,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3043608,30.55446974,90
538,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3052253,30.55419316,180
548,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3053275,30.55417175,90
726,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3071469,30.55379064,90
848,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3083939,30.55352945,90
969,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3096188,30.55322336,0
1000,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3099367,30.55316389,90
1030,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3102469,30.55312013,270
1049,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3104438,30.55309565,90
1050,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3104541,30.55309436,90
1090,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3108687,30.55304283,0,180
1090,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3108687,30.55304283,0,180
1133,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3113143,30.55298743,180,270
1133,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3113143,30.55298743,180,270
